SOURCE_ID,ORIGINAL_SOURCE_PATH,ORIGINAL_RELATIVE_PATH,DESTINATION_RELATIVE_PATH,FILENAME,FILE_TYPE,FILE_SIZE_BYTES,SOURCE_SHA256,DESTINATION_SHA256,HASH_VERIFIED,SOURCE_CATEGORY,SOURCE_AUTHORITY,AUTHORITY_STATUS,ORIGINAL_OR_GENERATED,CURRENT_OR_HISTORICAL,SENSITIVE_DATA_STATUS,DUPLICATE_GROUP_ID,CANONICAL_FILE_INDICATOR,MIGRATION_TIMESTAMP_UTC,NOTES
CIT-SRC-00284,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\extracted_reserve\staging\TAFC\reserve_grid.csv,extracted_reserve/staging/TAFC/reserve_grid.csv,staging/normalized_rates/reserve/staging/TAFC/reserve_grid.csv,reserve_grid.csv,.csv,75447,ea4ad1433405939c955ad2534bacec964ff0c5e96ef8f6f3ff8d1fa590433903,ea4ad1433405939c955ad2534bacec964ff0c5e96ef8f6f3ff8d1fa590433903,Y,Generated output,derived,UNKNOWN,generated,current,N,,N,2026-07-12T14:57:13Z,Approved COPY per Stage 2B decisions
CIT-SRC-00285,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\extracted_reserve\staging\TAFD\reserve_grid.csv,extracted_reserve/staging/TAFD/reserve_grid.csv,staging/normalized_rates/reserve/staging/TAFD/reserve_grid.csv,reserve_grid.csv,.csv,92398,00afb9ddcc9aed974d30efc2e9aaa193f24a121126ce90c2e16a0073aa4567b8,00afb9ddcc9aed974d30efc2e9aaa193f24a121126ce90c2e16a0073aa4567b8,Y,Generated output,derived,UNKNOWN,generated,current,N,,N,2026-07-12T14:57:13Z,Approved COPY per Stage 2B decisions
CIT-SRC-00286,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\Issue_Log\CFIC_Issue_01\CFIC_Issue_01_Dependency_Gate.md,Issue_Log/CFIC_Issue_01/CFIC_Issue_01_Dependency_Gate.md,issues/closed/legacy_CFIC_Issue_01/CFIC_Issue_01_Dependency_Gate.md,CFIC_Issue_01_Dependency_Gate.md,.md,4730,91daed156afc73f1d15ac8c1d9c0d1a8aa87f91887b271e4eefb3cae5b707de5,91daed156afc73f1d15ac8c1d9c0d1a8aa87f91887b271e4eefb3cae5b707de5,Y,Documentation,derived,UNKNOWN,mixed,current,N,,N,2026-07-12T14:57:13Z,Approved COPY per Stage 2B decisions
CIT-SRC-00287,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\Issue_Log\CFIC_Issue_01\CFIC_Issue_01_Implementation_Notes.md,Issue_Log/CFIC_Issue_01/CFIC_Issue_01_Implementation_Notes.md,issues/closed/legacy_CFIC_Issue_01/CFIC_Issue_01_Implementation_Notes.md,CFIC_Issue_01_Implementation_Notes.md,.md,3110,571d7d1a8f7fbc4fa3a320730dc67b1e8ebd0dfe25f87ac7b66d2ef440061321,571d7d1a8f7fbc4fa3a320730dc67b1e8ebd0dfe25f87ac7b66d2ef440061321,Y,Documentation,derived,UNKNOWN,mixed,current,N,,N,2026-07-12T14:57:13Z,Approved COPY per Stage 2B decisions
CIT-SRC-00288,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\Issue_Log\CFIC_Issue_01\CFIC_Issue_01_Intake_Summary.md,Issue_Log/CFIC_Issue_01/CFIC_Issue_01_Intake_Summary.md,issues/closed/legacy_CFIC_Issue_01/CFIC_Issue_01_Intake_Summary.md,CFIC_Issue_01_Intake_Summary.md,.md,5390,e34a3ad00dddf2d516ad59cd7917a5e4bfb194208ca85dc05a20b518b81ddb39,e34a3ad00dddf2d516ad59cd7917a5e4bfb194208ca85dc05a20b518b81ddb39,Y,Documentation,derived,UNKNOWN,mixed,current,N,,N,2026-07-12T14:57:13Z,Approved COPY per Stage 2B decisions
CIT-SRC-00289,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\Issue_Log\CFIC_Issue_01\CFIC_Issue_01_Open_Business_Questions.md,Issue_Log/CFIC_Issue_01/CFIC_Issue_01_Open_Business_Questions.md,issues/closed/legacy_CFIC_Issue_01/CFIC_Issue_01_Open_Business_Questions.md,CFIC_Issue_01_Open_Business_Questions.md,.md,3712,26f29f5191a919209f0e2258e3924405f53772e577c58e12451f0fa7aa804389,26f29f5191a919209f0e2258e3924405f53772e577c58e12451f0fa7aa804389,Y,Documentation,derived,UNKNOWN,mixed,current,N,,N,2026-07-12T14:57:13Z,Approved COPY per Stage 2B decisions
CIT-SRC-00290,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\Issue_Log\CFIC_Issue_01\CFIC_Issue_01_Planning_Report.md,Issue_Log/CFIC_Issue_01/CFIC_Issue_01_Planning_Report.md,issues/closed/legacy_CFIC_Issue_01/CFIC_Issue_01_Planning_Report.md,CFIC_Issue_01_Planning_Report.md,.md,14892,3d7e70d93bc99f1df7a43bf4963f0c475e0d5f28f62dc28823a4027e2ac8f502,3d7e70d93bc99f1df7a43bf4963f0c475e0d5f28f62dc28823a4027e2ac8f502,Y,Documentation,derived,UNKNOWN,mixed,current,N,,N,2026-07-12T14:57:13Z,Approved COPY per Stage 2B decisions
CIT-SRC-00291,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\Issue_Log\CFIC_Issue_01\CFIC_Issue_01_Risk_Review_Report.md,Issue_Log/CFIC_Issue_01/CFIC_Issue_01_Risk_Review_Report.md,issues/closed/legacy_CFIC_Issue_01/CFIC_Issue_01_Risk_Review_Report.md,CFIC_Issue_01_Risk_Review_Report.md,.md,12163,19c35ca0367a29ad08735ebb8c44ee47e9758caf4ff1cbad25e4a6630ff3e7e6,19c35ca0367a29ad08735ebb8c44ee47e9758caf4ff1cbad25e4a6630ff3e7e6,Y,Documentation,derived,UNKNOWN,mixed,current,N,,N,2026-07-12T14:57:13Z,Approved COPY per Stage 2B decisions
CIT-SRC-00292,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\Issue_Log\CFIC_Issue_01\CFIC_Issue_01_Scope_Decisions.md,Issue_Log/CFIC_Issue_01/CFIC_Issue_01_Scope_Decisions.md,issues/closed/legacy_CFIC_Issue_01/CFIC_Issue_01_Scope_Decisions.md,CFIC_Issue_01_Scope_Decisions.md,.md,1655,8f85bf77120537c3c3607c8eb38312183f709605eb86f336c9db373adc1ca33d,8f85bf77120537c3c3607c8eb38312183f709605eb86f336c9db373adc1ca33d,Y,Documentation,derived,UNKNOWN,mixed,current,N,,N,2026-07-12T14:57:13Z,Approved COPY per Stage 2B decisions
CIT-SRC-00293,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\Issue_Log\CFIC_Issue_01\CFIC_Issue_01_Tracking_Sheet.csv,Issue_Log/CFIC_Issue_01/CFIC_Issue_01_Tracking_Sheet.csv,issues/closed/legacy_CFIC_Issue_01/CFIC_Issue_01_Tracking_Sheet.csv,CFIC_Issue_01_Tracking_Sheet.csv,.csv,441,99a296fa50d5b80c16002ecb0ce510c6ed8c16dcdf027c22b307538a0df1bb07,99a296fa50d5b80c16002ecb0ce510c6ed8c16dcdf027c22b307538a0df1bb07,Y,Documentation,derived,UNKNOWN,mixed,current,N,,N,2026-07-12T14:57:13Z,Approved COPY per Stage 2B decisions
