Area,Table,Record,Problem,Current Value,Required Value,Type,Reference
Plan Setup,Annuity Information Setup,A87059,Annuity plan A87059 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A87065,Annuity plan A87065 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A87069,Annuity plan A87069 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A87340,Annuity plan A87340 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A87345,Annuity plan A87345 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A87349,Annuity plan A87349 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A87350,Annuity plan A87350 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A87355,Annuity plan A87355 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A87359,Annuity plan A87359 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A87360,Annuity plan A87360 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A87365,Annuity plan A87365 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A87369,Annuity plan A87369 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A87440,Annuity plan A87440 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A87445,Annuity plan A87445 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A87449,Annuity plan A87449 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A87450,Annuity plan A87450 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A87455,Annuity plan A87455 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
Plan Setup,Annuity Information Setup,A87459,Annuity plan A87459 does not have a Annuity Information Setup record.,,A supporting record for the plan,Warning,DG-QUIKPLAN-028
