Area,Table,Record,Problem,Current Value,Required Value,Type,Reference
Plan Values,Cash Values,9085WP / M / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,90OLWP / F / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,90OLWP / M / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,90PDTH / M / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,90POWP / M / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,910RWP / F / NS / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,910RWP / M / NS / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,910SWP / M / PR / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,920ADB / M / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,934JWP / M / NS / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,934SWP / F / NS / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,934SWP / M / NS / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,943CWP / M / SM / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,9595WP / F / SM / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,9595WP / M / SM / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,960ADB / F / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
