PLAN,DESCR,DEFICIENCY,PRODUCT,PAYYRS,PAYAGE,indeterminate_heuristic,dg020_applies,a2_candidate_if_cso_yes
9WPL10,L10 WAIVER OF PREMIUM   POST 1997,N,12,00,60,N,Y,Y
9CDTWP,L10 CHILD WP,N,12,00,25,N,Y,Y
9OLDWP,WAIVER OF PREMIUM - L10,N,12,00,60,N,Y,Y
910RWP,L10 WAIVER OF PREMIUM   POST 1997,N,13,00,60,N,Y,Y
1L14SC,WHOLE LIFE,N,13,00,100,N,N,Y
1L15GD,"GRADED DEATH BENEFIT, WHOLE LIFE",N,13,00,100,N,N,Y
9ADB15,INHERENT ACCIDENTAL DEATH (3 YR) FOR L15,N,13,03,00,N,Y,Y
1L16GD,"GRADED DEATH BENEFIT, WHOLE LIFE",N,13,00,100,N,N,Y
9L16PF,"GRADED DEATH BENEFIT, WHOLE LIFE",N,13,02,00,N,Y,Y
10L171,SINGLE PREMIUM WHOLE LIFE,N,12,1,0,N,N,Y
117JPO,SINGLE PREMIUM WHOLE LIFE,N,12,00,00,N,N,Y
10L172,SINGLE PREMIUM WHOLE LIFE,N,12,1,0,N,N,Y
17MJPO,SINGLE PREMIUM WHOLE LIFE,N,12,00,00,N,N,Y
1L17SP,"SINGLE PREMIUM, WHOLE LIFE",N,12,1,0,N,N,Y
9SLADB,SAL ACCIDENTAL DEATH BENEFIT,N,70,100,00,N,Y,Y
1SALML,MODIFIED LIFE,N,70,100,00,N,N,Y
1SALMI,MULTIPLE INSUREDS SAL MODIFIED LIFE,N,70,100,00,N,N,Y
1SALOL,ORDINARY WHOLE LIFE,N,70,100,00,N,N,Y
9WP646,WAIVER OF PREMIUM,N,03,00,69,N,Y,Y
