MPOLICY,MLOANPRIN,MLOANBAL,MLOANINT,MLOANINTX,MLOANIDT,MLOANDATE,MLOANACCR,MLOANBILL
010461210C,746.10,746.10,5.00,A,20250212,20250212,0.00,0.00
010465331C,3421.46,3421.46,5.00,A,20250815,20250815,0.00,0.00
010466392C,5065.59,5065.59,5.00,A,20251023,20251023,0.00,0.00
010467154C,2538.86,2538.86,5.00,A,20250923,20250923,0.00,0.00
010471046C,607.29,607.29,5.00,A,20250301,20250301,0.00,0.00
010478213C,103.91,103.91,5.00,A,20250819,20250819,0.00,0.00
010478214C,31.31,31.31,5.00,A,20250810,20250810,0.00,0.00
010486919C,9063.72,9063.72,5.00,A,20250603,20250603,0.00,0.00
010486961C,9583.82,9583.82,5.00,A,20250401,20250401,0.00,0.00
010488273C,5744.17,5744.17,5.00,A,20250428,20250428,0.00,0.00
010488274C,4282.62,4282.62,5.00,A,20180430,20180430,0.00,0.00
010491000C,2359.03,2359.03,5.00,A,20210523,20210523,0.00,0.00
010495113C,160.18,160.18,5.00,A,20250810,20250810,0.00,0.00
010513711C,127.71,127.71,5.00,A,20250817,20250817,0.00,0.00
010518048C,7227.60,7227.60,5.00,A,20251208,20251208,0.00,0.00
010518049C,3510.82,3510.82,5.00,A,20251208,20251208,0.00,0.00
010518545C,7098.35,7098.35,5.00,A,20251115,20251115,0.00,0.00
010520217C,216.71,216.71,5.00,A,20221115,20221115,0.00,0.00
010520451C,2640.89,2640.89,5.00,A,20251120,20251120,0.00,0.00
010529613C,1958.32,1958.32,5.00,A,20250702,20250702,0.00,0.00
010546964C,16290.00,16290.00,5.00,A,20250301,20250301,0.00,0.00
010547021C,10871.29,10871.29,5.00,A,20250301,20250301,0.00,0.00
010550088C,376.67,376.67,5.00,A,20250415,20250415,0.00,0.00
010565013C,4908.24,4908.24,5.00,A,20251215,20251215,0.00,0.00
010567983C,27.18,27.18,5.00,A,20250110,20250110,0.00,0.00
010653596C,11.30,11.30,5.00,A,20110406,20110406,0.00,0.00
010719815C,554.23,554.23,7.40,A,20120803,20120803,0.00,0.00
010722516C,9355.72,9355.72,7.40,A,20251211,20251211,0.00,0.00
010722734C,984.88,984.88,7.40,A,20050710,20050710,0.00,0.00
010728696C,1119.54,1119.54,7.40,A,20120902,20120902,0.00,0.00
010733665C,742.71,742.71,7.40,A,20251028,20251028,0.00,0.00
010735585C,32.40,32.40,7.40,A,20041126,20041126,0.00,0.00
010736935C,16453.19,16453.19,7.40,A,20241210,20241210,0.00,0.00
010738161C,98.02,98.02,7.40,A,20190520,20190520,0.00,0.00
010743832C,4838.46,4838.46,7.40,A,20260102,20260102,0.00,0.00
010745749C,34.99,34.99,7.40,A,20080322,20080322,0.00,0.00
010746846C,292.66,292.66,7.40,A,20200328,20200328,0.00,0.00
010747243C,16779.29,16779.29,7.40,A,20251222,20251222,0.00,0.00
010747636C,145.52,145.52,7.40,A,20230410,20230410,0.00,0.00
010748070C,44.55,44.55,7.40,A,20140820,20140820,0.00,0.00
010748073C,5054.12,5054.12,7.40,A,20251223,20251223,0.00,0.00
010749401C,9556.23,9556.23,7.40,A,20251101,20251101,0.00,0.00
010749906C,20.25,20.25,7.40,A,20070506,20070506,0.00,0.00
010749942C,1731.84,1731.84,7.40,A,20251222,20251222,0.00,0.00
010750265C,1370.93,1370.93,7.40,A,20250508,20250508,0.00,0.00
010750755C,124.94,124.94,7.40,A,20151214,20151214,0.00,0.00
010753409C,130.67,130.67,7.40,A,20210612,20210612,0.00,0.00
010754480C,16.24,16.24,7.40,A,20250619,20250619,0.00,0.00
010756091C,4655.70,4655.70,7.40,A,20251002,20251002,0.00,0.00
010756833C,1396.89,1396.89,7.40,A,20250712,20250712,0.00,0.00
010756909C,32.40,32.40,7.40,A,20110717,20110717,0.00,0.00
010759555C,6415.56,6415.56,7.40,A,20250801,20250801,0.00,0.00
010759932C,396.55,396.55,7.40,A,20200207,20200207,0.00,0.00
010760840C,386.83,386.83,7.40,A,20251001,20251001,0.00,0.00
010760873C,15186.68,15186.68,7.40,A,20250915,20250915,0.00,0.00
010761639C,13872.07,13872.07,7.40,A,20251222,20251222,0.00,0.00
010761966C,7.80,7.80,7.40,A,20190913,20190913,0.00,0.00
010762047C,1885.78,1885.78,7.40,A,20251209,20251209,0.00,0.00
010763378C,4549.17,4549.17,7.40,A,20250930,20250930,0.00,0.00
010764348C,117.68,117.68,7.40,A,20181001,20181001,0.00,0.00
010766920C,57.90,57.90,7.40,A,20251001,20251001,0.00,0.00
010766921C,87.74,87.74,7.40,A,20251001,20251001,0.00,0.00
010767776C,183.40,183.40,7.40,A,20251103,20251103,0.00,0.00
010769345C,121.76,121.76,7.40,A,20141101,20141101,0.00,0.00
010770721C,6006.22,6006.22,7.40,A,20251105,20251105,0.00,0.00
010771354C,53.59,53.59,7.40,A,20251215,20251215,0.00,0.00
010772903C,4730.85,4730.85,7.40,A,20251222,20251222,0.00,0.00
010772919C,25780.26,25780.26,7.40,A,20251213,20251213,0.00,0.00
010773575C,7626.70,7626.70,7.40,A,20251204,20251204,0.00,0.00
010773681C,321.30,321.30,7.40,A,20031201,20031201,0.00,0.00
010773682C,217.79,217.79,7.40,A,20141210,20141210,0.00,0.00
010774490C,67.91,67.91,7.40,A,20040910,20040910,0.00,0.00
010775583C,9367.10,9367.10,7.40,A,20251229,20251229,0.00,0.00
010776651C,40.96,40.96,7.40,A,20181115,20181115,0.00,0.00
010776811C,5668.05,5668.05,7.40,A,20251215,20251215,0.00,0.00
010778474C,54.85,54.85,7.40,A,20180203,20180203,0.00,0.00
010778653C,310.21,310.21,7.40,A,20070123,20070123,0.00,0.00
010778697C,333.73,333.73,7.40,A,20250801,20250801,0.00,0.00
010779563C,8612.21,8612.21,7.40,A,20251101,20251101,0.00,0.00
010780510C,20.18,20.18,7.40,A,20050209,20050209,0.00,0.00
010784732C,59.31,59.31,7.40,A,20251007,20251007,0.00,0.00
010785163C,10093.60,10093.60,7.40,A,20130212,20130212,0.00,0.00
010786152C,118.50,118.50,7.40,A,20100918,20100918,0.00,0.00
010786800C,62.11,62.11,7.40,A,20200312,20200312,0.00,0.00
010787668C,220.30,220.30,7.40,A,20200317,20200317,0.00,0.00
010787669C,332.48,332.48,7.40,A,20250328,20250328,0.00,0.00
010789546C,322.62,322.62,7.40,A,20230417,20230417,0.00,0.00
010790531C,196.39,196.39,7.40,A,20250406,20250406,0.00,0.00
010790532C,142.54,142.54,7.40,A,20250406,20250406,0.00,0.00
010790754C,1058.27,1058.27,7.40,A,20250422,20250422,0.00,0.00
010791498C,8675.31,8675.31,7.40,A,20250501,20250501,0.00,0.00
010792541C,2903.43,2903.43,7.40,A,20250724,20250724,0.00,0.00
010793451C,89.09,89.09,7.40,A,20170609,20170609,0.00,0.00
010794112C,693.77,693.77,7.40,A,20080523,20080523,0.00,0.00
010794265C,7.00,7.00,7.40,A,20080516,20080516,0.00,0.00
010794520C,48.92,48.92,7.40,A,20120820,20120820,0.00,0.00
010796912C,730.79,730.79,7.40,A,20090116,20090116,0.00,0.00
010797197C,2164.55,2164.55,7.40,A,20250610,20250610,0.00,0.00
010798018C,105.85,105.85,7.40,A,20251016,20251016,0.00,0.00
010800286C,130.67,130.67,7.40,A,20160701,20160701,0.00,0.00
010802647C,146.87,146.87,7.40,A,20130715,20130715,0.00,0.00
010803026C,15013.90,15013.90,7.40,A,20250715,20250715,0.00,0.00
010804711C,1871.07,1871.07,7.40,A,20250730,20250730,0.00,0.00
010806653C,18.46,18.46,7.40,A,20220915,20220915,0.00,0.00
010807566C,15841.79,15841.79,7.40,A,20250822,20250822,0.00,0.00
010808548C,17141.82,17141.82,7.40,A,20250901,20250901,0.00,0.00
010808831C,426.10,426.10,7.40,A,20251031,20251031,0.00,0.00
010809317C,2252.18,2252.18,7.40,A,20250915,20250915,0.00,0.00
010809320C,1640.77,1640.77,7.40,A,20250915,20250915,0.00,0.00
010811250C,1355.44,1355.44,7.40,A,20250922,20250922,0.00,0.00
010811319C,9817.14,9817.14,7.40,A,20250911,20250911,0.00,0.00
010814167C,310.21,310.21,7.40,A,20231008,20231008,0.00,0.00
010814172C,3576.20,3576.20,7.40,A,20251001,20251001,0.00,0.00
010814390C,284.02,284.02,7.40,A,20071006,20071006,0.00,0.00
010817366C,44.24,44.24,7.40,A,20130723,20130723,0.00,0.00
010817367C,35.37,35.37,7.40,A,20130723,20130723,0.00,0.00
010817483C,10973.57,10973.57,7.40,A,20251101,20251101,0.00,0.00
010818051C,4955.49,4955.49,7.40,A,20251229,20251229,0.00,0.00
010819271C,7652.03,7652.03,7.40,A,20241205,20241205,0.00,0.00
010819774C,17580.87,17580.87,7.40,A,20250624,20250624,0.00,0.00
010822238C,9748.41,9748.41,7.40,A,20251222,20251222,0.00,0.00
010822851C,27.94,27.94,7.40,A,20130912,20130912,0.00,0.00
010827081C,11943.09,11943.09,7.40,A,20251226,20251226,0.00,0.00
010827507C,4682.93,4682.93,7.40,A,20250127,20250127,0.00,0.00
010827528C,4164.07,4164.07,7.40,A,20250203,20250203,0.00,0.00
010827575C,85.70,85.70,7.40,A,20250625,20250625,0.00,0.00
010827699C,10080.66,10080.66,7.40,A,20251229,20251229,0.00,0.00
010828370C,48.60,48.60,7.40,A,20070203,20070203,0.00,0.00
010831478C,1364.06,1364.06,7.40,A,20250306,20250306,0.00,0.00
010832740C,6539.61,6539.61,7.40,A,20210423,20210423,0.00,0.00
010833382C,12152.11,12152.11,7.40,A,20251223,20251223,0.00,0.00
010839784C,13198.25,13198.25,7.40,A,20250714,20250714,0.00,0.00
010840848C,170.09,170.09,7.40,A,20130526,20130526,0.00,0.00
010841782C,4571.51,4571.51,7.40,A,20250909,20250909,0.00,0.00
010841783C,4836.49,4836.49,7.40,A,20251223,20251223,0.00,0.00
010842857C,216.52,216.52,7.40,A,20210616,20210616,0.00,0.00
010844069C,186.67,186.67,7.40,A,20250628,20250628,0.00,0.00
010845706C,88.30,88.30,7.40,A,20130714,20130714,0.00,0.00
010847191C,1349.67,1349.67,7.40,A,20250918,20250918,0.00,0.00
010847571C,1471.75,1471.75,7.40,A,20250801,20250801,0.00,0.00
010848255C,8138.90,8138.90,7.40,A,20250803,20250803,0.00,0.00
010848256C,7300.19,7300.19,7.40,A,20250803,20250803,0.00,0.00
010848292C,6840.04,6840.04,7.40,A,20251001,20251001,0.00,0.00
010852748C,1301.75,1301.75,7.40,A,20251202,20251202,0.00,0.00
010853285C,8747.48,8747.48,7.40,A,20250916,20250916,0.00,0.00
010854307C,6200.56,6200.56,7.40,A,20251229,20251229,0.00,0.00
010855945C,5066.74,5066.74,7.40,A,20251211,20251211,0.00,0.00
010856189C,2237.36,2237.36,7.40,A,20251006,20251006,0.00,0.00
010858124C,3171.77,3171.77,7.40,A,20251020,20251020,0.00,0.00
010858434C,1972.94,1972.94,7.40,A,20251218,20251218,0.00,0.00
010858435C,1696.83,1696.83,7.40,A,20251218,20251218,0.00,0.00
010858613C,79.10,79.10,7.40,A,20251025,20251025,0.00,0.00
010864397C,3698.23,3698.23,7.40,A,20250611,20250611,0.00,0.00
010867974C,123.14,123.14,7.40,A,20191210,20191210,0.00,0.00
010872404C,2190.73,2190.73,7.40,A,20250502,20250502,0.00,0.00
010872406C,2353.53,2353.53,7.40,A,20250502,20250502,0.00,0.00
010873155C,3834.71,3834.71,7.40,A,20250203,20250203,0.00,0.00
010873283C,612.36,612.36,7.40,A,20251023,20251023,0.00,0.00
010875065C,14351.18,14351.18,7.40,A,20240121,20240121,0.00,0.00
010878099C,1808.38,1808.38,7.40,A,20250211,20250211,0.00,0.00
010880362C,888.38,888.38,7.40,A,20251006,20251006,0.00,0.00
010881301C,38.46,38.46,7.40,A,20111101,20111101,0.00,0.00
010882408C,342.37,342.37,7.40,A,20250311,20250311,0.00,0.00
010883172C,2350.89,2350.89,7.40,A,20250314,20250314,0.00,0.00
010883244C,1861.20,1861.20,7.40,A,20250314,20250314,0.00,0.00
010883533C,5131.02,5131.02,7.40,A,20251223,20251223,0.00,0.00
010891075C,13272.42,13272.42,7.40,A,20220225,20220225,0.00,0.00
010892695C,7391.68,7391.68,7.40,A,20251205,20251205,0.00,0.00
010895934C,3461.13,3461.13,7.40,A,20250708,20250708,0.00,0.00
010897662C,4385.39,4385.39,7.40,A,20250520,20250520,0.00,0.00
010897663C,1579.59,1579.59,7.40,A,20250520,20250520,0.00,0.00
010899715C,2037.91,2037.91,7.40,A,20251229,20251229,0.00,0.00
010899716C,2029.77,2029.77,7.40,A,20251129,20251129,0.00,0.00
010899717C,1839.90,1839.90,7.40,A,20251229,20251229,0.00,0.00
010899718C,1887.29,1887.29,7.40,A,20251229,20251229,0.00,0.00
010901832C,114.14,114.14,7.40,A,20230701,20230701,0.00,0.00
010905200C,149.30,149.30,7.40,A,20230617,20230617,0.00,0.00
010908068C,5232.09,5232.09,7.40,A,20250701,20250701,0.00,0.00
010908669C,3063.70,3063.70,7.40,A,20250701,20250701,0.00,0.00
010913059C,1075.01,1075.01,7.40,A,20250715,20250715,0.00,0.00
010913799C,4631.11,4631.11,7.40,A,20250724,20250724,0.00,0.00
010917599C,3904.63,3904.63,7.40,A,20251203,20251203,0.00,0.00
010924513C,253.25,253.25,7.40,A,20120828,20120828,0.00,0.00
010924660C,8281.24,8281.24,7.40,A,20250904,20250904,0.00,0.00
010928498C,7920.58,7920.58,7.40,A,20251103,20251103,0.00,0.00
010928507C,5615.60,5615.60,7.40,A,20251001,20251001,0.00,0.00
010928775C,14140.55,14140.55,7.40,A,20251125,20251125,0.00,0.00
010933488C,1900.07,1900.07,7.40,A,20251028,20251028,0.00,0.00
010938321C,65.12,65.12,7.40,A,20180125,20180125,0.00,0.00
010942246C,5854.78,5854.78,7.40,A,20251231,20251231,0.00,0.00
010946647C,1080.86,1080.86,7.40,A,20251213,20251213,0.00,0.00
010951159C,1933.28,1933.28,7.40,A,20251219,20251219,0.00,0.00
010953834C,5361.89,5361.89,7.40,A,20251121,20251121,0.00,0.00
010958268C,152.57,152.57,7.40,A,20250325,20250325,0.00,0.00
010969329C,11295.17,11295.17,7.40,A,20250822,20250822,0.00,0.00
010979005C,3056.77,3056.77,7.40,A,20250404,20250404,0.00,0.00
010987089C,8193.69,8193.69,7.40,A,20250509,20250509,0.00,0.00
010987413C,1943.01,1943.01,7.40,A,20090521,20090521,0.00,0.00
010995983C,3866.05,3866.05,7.40,A,20250922,20250922,0.00,0.00
010995984C,3581.68,3581.68,7.40,A,20250922,20250922,0.00,0.00
011000000C,2883.73,2883.73,7.40,A,20250907,20250907,0.00,0.00
011006697C,2478.48,2478.48,7.40,A,20241113,20241113,0.00,0.00
011008708C,15885.74,15885.74,7.40,A,20210913,20210913,0.00,0.00
011029547C,5027.42,5027.42,7.40,A,20241213,20241213,0.00,0.00
011033576C,1011.68,1011.68,7.40,A,20250225,20250225,0.00,0.00
011042625C,143.01,143.01,7.40,A,20250702,20250702,0.00,0.00
011045768C,1172.60,1172.60,7.40,A,20260102,20260102,0.00,0.00
011045769C,1398.70,1398.70,7.40,A,20260102,20260102,0.00,0.00
011047682C,2002.19,2002.19,7.40,A,20251204,20251204,0.00,0.00
011047683C,2052.82,2052.82,7.40,A,20251104,20251104,0.00,0.00
011047684C,2117.33,2117.33,7.40,A,20251104,20251104,0.00,0.00
011050803C,1658.80,1658.80,7.40,A,20250110,20250110,0.00,0.00
011050804C,1658.80,1658.80,7.40,A,20250110,20250110,0.00,0.00
011060710C,3576.84,3576.84,7.40,A,20251203,20251203,0.00,0.00
011061723C,181.18,181.18,7.40,A,20251101,20251101,0.00,0.00
011068750C,1693.38,1693.38,7.40,A,20250301,20250301,0.00,0.00
011068751C,1502.85,1502.85,7.40,A,20250301,20250301,0.00,0.00
011071480C,130.67,130.67,7.40,A,20200419,20200419,0.00,0.00
011075863C,2203.02,2203.02,7.40,A,20250826,20250826,0.00,0.00
011078891C,1752.01,1752.01,7.40,A,20251021,20251021,0.00,0.00
011081463C,4377.60,4377.60,7.40,A,20250207,20250207,0.00,0.00
011081464C,2636.00,2636.00,7.40,A,20250301,20250301,0.00,0.00
011081465C,1012.78,1012.78,7.40,A,20250206,20250206,0.00,0.00
011081966C,4274.69,4274.69,7.40,A,20240220,20240220,0.00,0.00
011081967C,4271.04,4271.04,7.40,A,20240220,20240220,0.00,0.00
011082681C,174.91,174.91,7.40,A,20150501,20150501,0.00,0.00
011087230C,1693.03,1693.03,7.40,A,20250502,20250502,0.00,0.00
011095330C,6311.72,6311.72,7.40,A,20251208,20251208,0.00,0.00
011096068C,5635.68,5635.68,7.40,A,20250901,20250901,0.00,0.00
011100907C,77.20,77.20,7.40,A,20200101,20200101,0.00,0.00
011105232C,4691.19,4691.19,7.40,A,20250220,20250220,0.00,0.00
011106598C,1985.63,1985.63,7.40,A,20250210,20250210,0.00,0.00
011107137C,565.69,565.69,7.40,A,20251015,20251015,0.00,0.00
011118229C,130.67,130.67,7.40,A,20041009,20041009,0.00,0.00
011118555C,1862.56,1862.56,7.40,A,20250914,20250914,0.00,0.00
011118615C,13631.82,13631.82,7.40,A,20250913,20250913,0.00,0.00
011122680C,1313.33,1313.33,7.40,A,20251210,20251210,0.00,0.00
011129883C,1403.06,1403.06,7.40,A,20251023,20251023,0.00,0.00
011139474C,22124.17,22124.17,7.40,A,20250601,20250601,0.00,0.00
011140185C,661.49,661.49,7.40,A,20250322,20250322,0.00,0.00
011141382C,1309.19,1309.19,7.40,A,20240705,20240705,0.00,0.00
011151436C,72.43,72.43,7.40,A,20220808,20220808,0.00,0.00
011152870C,121.76,121.76,7.40,A,20200901,20200901,0.00,0.00
011154852C,6465.61,6465.61,7.40,A,20190311,20190311,0.00,0.00
011158320C,69.85,69.85,7.40,A,20240218,20240218,0.00,0.00
011160478C,517.75,517.75,7.40,A,20251011,20251011,0.00,0.00
011160479C,810.09,810.09,7.40,A,20251011,20251011,0.00,0.00
011160480C,718.14,718.14,7.40,A,20251011,20251011,0.00,0.00
011177896C,988.09,988.09,7.40,A,20250416,20250416,0.00,0.00
011179153C,9419.24,9419.24,7.40,A,20251008,20251008,0.00,0.00
011181080C,3341.24,3341.24,7.40,A,20240715,20240715,0.00,0.00
011183936C,3567.07,3567.07,7.40,A,20251203,20251203,0.00,0.00
011184753C,3113.59,3113.59,7.40,A,20251009,20251009,0.00,0.00
011188288C,286.37,286.37,7.40,A,20250113,20250113,0.00,0.00
011189530C,92.86,92.86,7.40,A,20250302,20250302,0.00,0.00
011189851C,2714.71,2714.71,7.40,A,20250320,20250320,0.00,0.00
011190388C,89.26,89.26,7.40,A,20250521,20250521,0.00,0.00
011191779C,17470.10,17470.10,7.40,A,20250417,20250417,0.00,0.00
011191892C,500.47,500.47,7.40,A,20251011,20251011,0.00,0.00
011192121C,150.23,150.23,7.40,A,20250504,20250504,0.00,0.00
011193165C,5276.49,5276.49,7.40,A,20250622,20250622,0.00,0.00
011193218C,5521.58,5521.58,7.40,A,20251215,20251215,0.00,0.00
011194381C,998.66,998.66,7.40,A,20251016,20251016,0.00,0.00
011194729C,16.27,16.27,7.40,A,20251216,20251216,0.00,0.00
011195201C,5310.92,5310.92,7.40,A,20260102,20260102,0.00,0.00
011195601C,201.51,201.51,7.40,A,20250215,20250215,0.00,0.00
011195602C,80.91,80.91,7.40,A,20250215,20250215,0.00,0.00
011196169C,81.05,81.05,7.40,A,20111013,20111013,0.00,0.00
011196170C,63.80,63.80,7.40,A,20111013,20111013,0.00,0.00
011196445C,3677.96,3677.96,7.40,A,20251102,20251102,0.00,0.00
011197220C,3283.72,3283.72,7.40,A,20251202,20251202,0.00,0.00
011197244C,8325.46,8325.46,7.40,A,20250826,20250826,0.00,0.00
011197712C,2156.55,2156.55,7.40,A,20260102,20260102,0.00,0.00
011197713C,199.15,199.15,7.40,A,20260102,20260102,0.00,0.00
011197716C,742.62,742.62,7.40,A,20251118,20251118,0.00,0.00
011198043C,2205.53,2205.53,7.40,A,20251219,20251219,0.00,0.00
011198305C,5457.26,5457.26,7.40,A,20251215,20251215,0.00,0.00
011198306C,4652.40,4652.40,7.40,A,20251215,20251215,0.00,0.00
011198765C,18603.04,18603.04,7.40,A,20250616,20250616,0.00,0.00
011198997C,4540.97,4540.97,7.40,A,20251218,20251218,0.00,0.00
011199549C,128.81,128.81,7.40,A,20250502,20250502,0.00,0.00
011200196C,2151.08,2151.08,7.40,A,20230717,20230717,0.00,0.00
011200570C,6268.78,6268.78,7.40,A,20251101,20251101,0.00,0.00
011200673C,119.24,119.24,7.40,A,20250825,20250825,0.00,0.00
011200872C,12414.08,12414.08,7.40,A,20250907,20250907,0.00,0.00
011203455C,4065.97,4065.97,7.40,A,20250213,20250213,0.00,0.00
011203456C,5765.95,5765.95,7.40,A,20251215,20251215,0.00,0.00
011206410C,3698.41,3698.41,7.40,A,20250920,20250920,0.00,0.00
011207112C,408.41,408.41,7.40,A,20251231,20251231,0.00,0.00
011207114C,443.53,443.53,7.40,A,20251231,20251231,0.00,0.00
011207115C,433.78,433.78,7.40,A,20251231,20251231,0.00,0.00
011207116C,121.70,121.70,7.40,A,20251231,20251231,0.00,0.00
011207117C,64.30,64.30,7.40,A,20251231,20251231,0.00,0.00
011208332C,823.03,823.03,7.40,A,20251005,20251005,0.00,0.00
011210768C,3421.31,3421.31,7.40,A,20250301,20250301,0.00,0.00
011210769C,1757.54,1757.54,7.40,A,20250301,20250301,0.00,0.00
011211133C,8.93,8.93,7.40,A,20170410,20170410,0.00,0.00
011211134C,18.79,18.79,7.40,A,20250410,20250410,0.00,0.00
011211326C,8477.62,8477.62,7.40,A,20251205,20251205,0.00,0.00
011212339C,212.48,212.48,7.40,A,20250501,20250501,0.00,0.00
011214731C,3578.92,3578.92,7.40,A,20251202,20251202,0.00,0.00
011215024C,36816.12,36816.12,7.40,A,20250901,20250901,0.00,0.00
011215550C,3554.47,3554.47,7.40,A,20251222,20251222,0.00,0.00
011216498C,3894.45,3894.45,7.40,A,20251101,20251101,0.00,0.00
011221537C,6175.82,6175.82,7.40,A,20250228,20250228,0.00,0.00
011225015C,4198.08,4198.08,7.40,A,20251017,20251017,0.00,0.00
011226273C,7405.03,7405.03,7.40,A,20250501,20250501,0.00,0.00
011226579C,1203.07,1203.07,7.40,A,20251210,20251210,0.00,0.00
011227604C,9.64,9.64,7.40,A,20180731,20180731,0.00,0.00
011240164C,6917.42,6917.42,7.40,A,20251101,20251101,0.00,0.00
011243732C,6114.89,6114.89,7.40,A,20251118,20251118,0.00,0.00
011249830C,2661.32,2661.32,7.40,A,20251101,20251101,0.00,0.00
011249831C,2672.99,2672.99,7.40,A,20251101,20251101,0.00,0.00
011250566C,1832.00,1832.00,7.40,A,20251226,20251226,0.00,0.00
011250919C,4042.44,4042.44,7.40,A,20250127,20250127,0.00,0.00
011257037C,11875.25,11875.25,7.40,A,20251226,20251226,0.00,0.00
011261640C,4567.06,4567.06,7.40,A,20250815,20250815,0.00,0.00
011262630C,5368.80,5368.80,7.40,A,20251208,20251208,0.00,0.00
011262825C,2370.01,2370.01,7.40,A,20251101,20251101,0.00,0.00
011263126C,145.15,145.15,7.40,A,20251204,20251204,0.00,0.00
011263483C,2226.87,2226.87,7.40,A,20240813,20240813,0.00,0.00
011263484C,2782.70,2782.70,7.40,A,20240811,20240811,0.00,0.00
011263511C,117.65,117.65,7.40,A,20250803,20250803,0.00,0.00
011267253C,2440.79,2440.79,7.40,A,20251216,20251216,0.00,0.00
011268761C,344.79,344.79,7.40,A,20251101,20251101,0.00,0.00
011269382C,5008.08,5008.08,7.40,A,20251128,20251128,0.00,0.00
011271994C,3087.84,3087.84,7.40,A,20251007,20251007,0.00,0.00
011272310C,26149.62,26149.62,7.40,A,20260102,20260102,0.00,0.00
011273928C,10196.73,10196.73,7.40,A,20250214,20250214,0.00,0.00
