POLICY_NUMBER,ORIG_LOAN_AMOUNT,LOAN_AMT_ADDED,LOAN_BALANCE,MLOANPRIN_STAGING,MLOANBAL_STAGING,BA_REVIEW_FLAG
9010466392,4838.08,227.51,5065.59,5065.59,5065.59,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010466470,29.27,-29.27,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010466471,23.63,-23.63,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010466472,29.33,-29.33,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010467061,0.26,-0.26,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010467154,2411.92,126.94,2538.86,2538.86,2538.86,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010467173,161.44,-161.44,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010467771,70.43,-70.43,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010469081,16472.78,-16472.78,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010469728,3291.91,-3291.91,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010469896,25.86,-25.86,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010471046,576.93,30.36,607.29,607.29,607.29,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010471534,348.69,-348.69,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010472182,16764.53,-16764.53,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010472183,5385.7,-5385.7,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010473137,2810.25,-2810.25,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010474519,3298.57,-3298.57,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010474522,9709.86,-9709.86,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010476803,4955.58,-4955.58,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010477512,3055.2,-3055.2,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010477513,3894.17,-3894.17,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010477989,3224.9,-3224.9,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010478213,98.84,5.07,103.91,103.91,103.91,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010478214,29.74,1.57,31.31,31.31,31.31,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010478285,7895.59,-7895.59,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010486919,8687.1,376.62,9063.72,9063.72,9063.72,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010486961,9104.63,479.19,9583.82,9583.82,9583.82,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010486964,4587.38,-4587.38,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010487396,344.97,-344.97,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010487886,58.99,-58.99,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010488273,5466.94,277.23,5744.17,5744.17,5744.17,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010488274,4077.07,205.55,4282.62,4282.62,4282.62,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010491000,2241.08,117.95,2359.03,2359.03,2359.03,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010495113,152.17,8.01,160.18,160.18,160.18,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010496486,629.67,-629.67,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010497768,88.72,-88.72,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
