POLICY_NUMBER,ACCRUAL_DATE,LAST_CHG_DATE,LAST_CHG_TIME,LOAN_BALANCE,ORIG_LOAN_AMOUNT,LOAN_AMT_ADDED,ACCRUED_INT_AMT,INTEREST_RATE,INTEREST_TYPE,INT_METHOD,STATUS_CODE,TYPE_CODE,LAST_REPAY_DATE,CAPITALIZED_DATE,INT_START_DATE,_LATEST_BALANCE_CLASS
9010825968   ,    20060207,     20060208,       153445,         .00,         2313.04,      -2313.04,            .00,        .0740,F            ,D         ,H          ,R        ,       20060207,               0,      20060207,ZERO_BALANCE_HOLD
9010825969   ,    20060207,     20060208,       153247,         .00,         3598.20,      -3598.20,            .00,        .0740,F            ,D         ,H          ,R        ,       20060207,               0,      20060207,ZERO_BALANCE_HOLD
9010826097   ,    20190329,     20190329,       152818,         .00,        10570.40,     -10570.40,            .00,        .0740,F            ,D         ,H          ,         ,       20190329,               0,      20190329,ZERO_BALANCE_HOLD
9010826130   ,    20080206,     20080207,        74005,         .00,            5.11,         -5.11,            .00,        .0740,F            ,D         ,H          ,R        ,       20080206,               0,      20080206,ZERO_BALANCE_HOLD
9010826133   ,    20220322,     20220325,        93303,         .00,        19084.12,     -19084.12,            .00,        .0740,F            ,D         ,H          ,         ,       20220322,               0,      20220322,ZERO_BALANCE_HOLD
9010827081   ,    20260526,     20260526,       181054,    12362.49,        11701.20,        661.29,            .00,        .0740,F            ,D         ,A          ,R        ,       20260526,        20260526,      20260526,ACTIVE_CANDIDATE
9010827434   ,    20110201,     20110203,       144434,         .00,         3139.92,      -3139.92,            .00,        .0740,F            ,D         ,H          ,R        ,       20110201,               0,      20110201,ZERO_BALANCE_HOLD
9010827507   ,    20260202,     20260203,       104213,     4683.40,         4342.31,        341.09,            .00,        .0740,F            ,D         ,A          ,R        ,       20260202,        20260202,      20260202,ACTIVE_CANDIDATE
9010827528   ,    20260203,     20260406,       181447,     4669.08,         4323.57,        345.51,            .00,        .0740,F            ,D         ,A          ,A        ,       20160315,        20260203,      20260203,ACTIVE_CANDIDATE
9010827575   ,    20260221,     20260421,       180842,       92.55,           85.70,          6.85,            .00,        .0740,F            ,D         ,A          ,R        ,       20250625,        20260221,      20260221,ACTIVE_CANDIDATE
9010827674   ,    20250202,     20250407,       181606,         .00,         6396.87,      -6396.87,            .00,        .0740,F            ,D         ,H          ,         ,       20250202,               0,      20250202,ZERO_BALANCE_HOLD
9010827699   ,    20260527,     20260528,       121926,     9548.49,         9073.36,        475.13,            .00,        .0740,F            ,D         ,A          ,R        ,       20260527,        20260527,      20260527,ACTIVE_CANDIDATE
9010828368   ,    20180425,     20180425,       113925,         .00,         4264.35,      -4264.35,            .00,        .0740,F            ,D         ,H          ,         ,       20180425,               0,      20180425,ZERO_BALANCE_HOLD
9010828370   ,    20070203,     20070501,        31439,       48.60,           45.00,          3.60,            .00,        .0740,F            ,D         ,R          ,A        ,              0,        20070203,      20070203,ACTIVE_CANDIDATE
