PLAN,AGE,CNTL,CV0,CV1,CV2,CV3,CV4,CV5,CV6,CV7,CV8,CV9,GENDER,UWCLASS,BAND,ISSCNTRY,ISSUEST,EFFDATE
103PFN,06,07,583.60,599.83,616.11,632.44,648.80,664.85,680.51,695.94,711.11,725.95,F,NS,00,0000,00,19000101
103PFN,06,08,740.85,755.14,768.92,782.27,795.61,810.37,826.01,842.19,858.98,876.64,F,NS,00,0000,00,19000101
103PFN,06,09,896.67,921.06,954.25,,,,,,,,F,NS,00,0000,00,19000101
103PFN,07,00,.00,.00,.00,.00,.00,1.41,4.09,6.85,9.74,12.70,F,NS,00,0000,00,19000101
103PFN,07,01,15.78,18.99,22.31,25.78,29.41,33.17,37.11,41.21,45.50,49.95,F,NS,00,0000,00,19000101
103PFN,07,02,54.57,59.39,64.39,69.60,75.01,80.63,86.48,92.53,98.80,105.31,F,NS,00,0000,00,19000101
103PFN,07,03,112.04,119.05,126.32,133.88,141.72,149.86,158.29,167.02,176.03,185.34,F,NS,00,0000,00,19000101
103PFN,07,04,194.92,204.78,214.92,225.32,235.98,246.90,258.06,269.48,281.15,293.05,F,NS,00,0000,00,19000101
103PFN,07,05,305.18,317.55,330.18,343.09,356.27,369.71,383.44,397.46,411.76,426.31,F,NS,00,0000,00,19000101
103PFN,07,06,441.13,456.18,471.47,486.96,502.62,518.42,534.34,550.38,566.50,582.71,F,NS,00,0000,00,19000101
103PFN,07,07,598.97,615.28,631.65,648.05,664.13,679.83,695.29,710.49,725.36,740.29,F,NS,00,0000,00,19000101
103PFN,07,08,754.61,768.43,781.80,795.18,809.97,825.64,841.86,858.67,876.37,896.45,F,NS,00,0000,00,19000101
103PFN,07,09,920.89,954.15,,,,,,,,,F,NS,00,0000,00,19000101
103PFN,08,00,.00,.00,.00,.00,.00,1.88,4.65,7.55,10.52,13.60,F,NS,00,0000,00,19000101
103PFN,08,01,16.81,20.14,23.62,27.26,31.03,34.98,39.09,43.38,47.85,52.47,F,NS,00,0000,00,19000101
103PFN,08,02,57.30,62.32,67.54,72.96,78.60,84.45,90.52,96.80,103.32,110.07,F,NS,00,0000,00,19000101
103PFN,08,03,117.09,124.39,131.96,139.82,147.98,156.43,165.17,174.21,183.53,193.14,F,NS,00,0000,00,19000101
103PFN,08,04,203.02,213.18,223.60,234.29,245.23,256.42,267.86,279.56,291.48,303.64,F,NS,00,0000,00,19000101
103PFN,08,05,316.04,328.70,341.63,354.84,368.32,382.08,396.13,410.45,425.04,439.89,F,NS,00,0000,00,19000101
103PFN,08,06,454.98,470.29,485.83,501.52,517.35,533.31,549.38,565.54,581.78,598.08,F,NS,00,0000,00,19000101
103PFN,08,07,614.43,630.83,647.27,663.39,679.12,694.61,709.84,724.75,739.72,754.07,F,NS,00,0000,00,19000101
103PFN,08,08,767.91,781.31,794.72,809.55,825.25,841.50,858.36,876.10,896.22,920.71,F,NS,00,0000,00,19000101
103PFN,08,09,954.05,,,,,,,,,,F,NS,00,0000,00,19000101
103PFN,09,00,.00,.00,.00,.00,.00,2.34,5.24,8.22,11.31,14.53,F,NS,00,0000,00,19000101
103PFN,09,01,17.86,21.35,25.00,28.78,32.74,36.85,41.16,45.63,50.27,55.11,F,NS,00,0000,00,19000101
103PFN,09,02,60.14,65.37,70.80,76.45,82.32,88.41,94.70,101.24,108.00,115.04,F,NS,00,0000,00,19000101
103PFN,09,03,122.35,129.94,137.82,146.00,154.47,163.23,172.29,181.64,191.26,201.17,F,NS,00,0000,00,19000101
103PFN,09,04,211.35,221.80,232.51,243.48,254.69,266.16,277.88,289.83,302.02,314.45,F,NS,00,0000,00,19000101
103PFN,09,05,327.14,340.10,353.34,366.85,380.64,394.72,409.08,423.71,438.59,453.71,F,NS,00,0000,00,19000101
103PFN,09,06,469.06,484.63,500.36,516.23,532.22,548.33,564.53,580.81,597.15,613.53,F,NS,00,0000,00,19000101
103PFN,09,07,629.97,646.45,662.61,678.37,693.90,709.17,724.11,739.11,753.50,767.38,F,NS,00,0000,00,19000101
103PFN,09,08,780.81,794.24,809.10,824.85,841.14,858.03,875.81,895.98,920.53,953.95,F,NS,00,0000,00,19000101
103PFN,10,00,.00,.00,.00,.00,.00,2.82,5.80,8.90,12.13,15.47,F,NS,00,0000,00,19000101
103PFN,10,01,18.97,22.62,26.41,30.38,34.51,38.82,43.31,47.96,52.81,57.85,F,NS,00,0000,00,19000101
103PFN,10,02,63.09,68.54,74.21,80.09,86.19,92.50,99.05,105.83,112.89,120.22,F,NS,00,0000,00,19000101
103PFN,10,03,127.82,135.72,143.92,152.41,161.19,170.27,179.64,189.29,199.22,209.43,F,NS,00,0000,00,19000101
103PFN,10,04,219.90,230.64,241.63,252.87,264.37,276.12,288.11,300.33,312.78,325.50,F,NS,00,0000,00,19000101
103PFN,10,05,338.50,351.77,365.31,379.13,393.25,407.64,422.30,437.22,452.38,467.77,F,NS,00,0000,00,19000101
103PFN,10,06,483.38,499.14,515.05,531.08,547.23,563.47,579.79,596.17,612.59,629.07,F,NS,00,0000,00,19000101
103PFN,10,07,645.59,661.79,677.59,693.16,708.46,723.44,738.48,752.90,766.81,780.27,F,NS,00,0000,00,19000101
103PFN,10,08,793.74,808.64,824.42,840.75,857.68,875.51,895.73,920.33,953.83,,F,NS,00,0000,00,19000101
103PFN,11,00,.00,.00,.00,.00,.29,3.28,6.38,9.62,12.97,16.48,F,NS,00,0000,00,19000101
103PFN,11,01,20.14,23.94,27.92,32.06,36.38,40.88,45.54,50.40,55.45,60.71,F,NS,00,0000,00,19000101
103PFN,11,02,66.18,71.85,77.75,83.87,90.19,96.76,103.56,110.63,117.98,125.61,F,NS,00,0000,00,19000101
103PFN,11,03,133.53,141.74,150.25,159.06,168.16,177.56,187.23,197.19,207.42,217.92,F,NS,00,0000,00,19000101
103PFN,11,04,228.69,239.71,250.98,262.50,274.29,286.30,298.55,311.04,323.79,336.82,F,NS,00,0000,00,19000101
103PFN,11,05,350.12,363.69,377.56,391.71,406.14,420.84,435.79,450.99,466.42,482.06,F,NS,00,0000,00,19000101
103PFN,11,06,497.87,513.82,529.89,546.08,562.36,578.72,595.14,611.61,628.13,644.69,F,NS,00,0000,00,19000101
103PFN,11,07,660.93,676.77,692.38,707.72,722.74,737.81,752.27,766.22,779.71,793.22,F,NS,00,0000,00,19000101
103PFN,11,08,808.15,823.97,840.35,857.32,875.19,895.46,920.13,953.72,,,F,NS,00,0000,00,19000101
103PFN,12,00,.00,.00,.00,.00,.63,3.75,7.00,10.36,13.87,17.54,F,NS,00,0000,00,19000101
103PFN,12,01,21.35,25.34,29.49,33.83,38.34,43.01,47.89,52.95,58.23,63.70,F,NS,00,0000,00,19000101
103PFN,12,02,69.39,75.31,81.44,87.78,94.37,101.18,108.28,115.64,123.29,131.23,F,NS,00,0000,00,19000101
103PFN,12,03,139.47,148.00,156.83,165.96,175.38,185.08,195.06,205.32,215.85,226.64,F,NS,00,0000,00,19000101
103PFN,12,04,237.69,248.99,260.55,272.36,284.41,296.69,309.21,321.99,335.06,348.40,F,NS,00,0000,00,19000101
103PFN,12,05,362.01,375.91,390.10,404.56,419.30,434.30,449.54,465.00,480.69,496.54,F,NS,00,0000,00,19000101
103PFN,12,06,512.53,528.65,544.88,561.20,577.61,594.07,610.58,627.14,643.74,660.03,F,NS,00,0000,00,19000101
103PFN,12,07,675.91,691.56,706.95,722.00,737.12,751.61,765.60,779.13,792.67,807.64,F,NS,00,0000,00,19000101
103PFN,12,08,823.51,839.92,856.95,874.86,895.18,919.92,953.59,,,,F,NS,00,0000,00,19000101
103PFN,13,00,.00,.00,.00,.00,1.02,4.28,7.65,11.18,14.85,18.68,F,NS,00,0000,00,19000101
