MPOLICY,MBENTYP,MDATE,MBEN
    14560K,7,2018-02-22,0.06
    14560K,11,2019-02-22,0.0
    14560K,2,2019-02-22,0.36
    14560K,6,2019-02-22,0.01
    14560K,7,2019-02-22,0.05
    14560K,11,2020-02-24,0.0
    14560K,2,2020-02-24,0.37
    14560K,7,2020-02-24,0.04
    14560K,11,2021-02-22,0.0
    14560K,2,2021-02-22,0.41
    14560K,3,2021-02-22,0.06
    14560K,11,2022-02-22,0.0
    14560K,2,2022-02-22,0.41
    14560K,3,2022-02-22,0.09
    14560K,6,2022-02-22,0.01
    14560K,11,2023-02-22,0.0
    14560K,2,2023-02-22,0.41
    14560K,3,2023-02-22,0.11
    14560K,6,2023-02-22,0.01
    14560K,11,2024-02-22,0.0
    14560K,2,2024-02-22,0.55
    14560K,6,2024-02-22,0.01
    14560K,7,2024-02-22,0.27
    14560K,11,2025-02-24,0.0
    14560K,2,2025-02-24,0.41
    14560K,3,2025-02-24,0.18
    14560K,11,2026-02-23,0.0
    14560K,2,2026-02-23,0.62
    14560K,6,2026-02-23,0.01
    14560K,7,2026-02-23,0.2
