error_type,severity,lifepro_coverage_id,field,value,notes
PASSTHROUGH_COMPAT_PLAN,INFO,L01 10Y MA,ql_plan_code,L01 10Y MA,Passthrough compatibility PLAN documented; authoritative target is 5L01MA
COMPAT_PLAN_CONTAINS_SPACE,WARN,L10 PRE97,ql_plan_code,L10 PRE97,Compatibility emit PLAN contains spaces — not valid for closed authority emission
PASSTHROUGH_COMPAT_PLAN,INFO,L10 PRE97,ql_plan_code,L10 PRE97,Passthrough compatibility PLAN documented; authoritative target is 1L10OD
COMPAT_PLAN_CONTAINS_SPACE,WARN,L10 PREUNI,ql_plan_code,L10 PREUNI,Compatibility emit PLAN contains spaces — not valid for closed authority emission
PASSTHROUGH_COMPAT_PLAN,INFO,L10 PREUNI,ql_plan_code,L10 PREUNI,Passthrough compatibility PLAN documented; authoritative target is 1L10PR
COMPAT_PLAN_CONTAINS_SPACE,WARN,L10 SPSWP,ql_plan_code,L10 SPSWP,Compatibility emit PLAN contains spaces — not valid for closed authority emission
PASSTHROUGH_COMPAT_PLAN,INFO,L10 SPSWP,ql_plan_code,L10 SPSWP,Passthrough compatibility PLAN documented; authoritative target is 910SWP
COMPAT_PLAN_CONTAINS_SPACE,WARN,L10 WP SRN,ql_plan_code,L10 WP SRN,Compatibility emit PLAN contains spaces — not valid for closed authority emission
PASSTHROUGH_COMPAT_PLAN,INFO,L10 WP SRN,ql_plan_code,L10 WP SRN,Passthrough compatibility PLAN documented; authoritative target is 910RWP
COMPAT_PLAN_CONTAINS_SPACE,WARN,WP 646,ql_plan_code,WP 646,Compatibility emit PLAN contains spaces — not valid for closed authority emission
PASSTHROUGH_COMPAT_PLAN,INFO,WP 646,ql_plan_code,WP 646,Passthrough compatibility PLAN documented; authoritative target is 9WP646
