legacy_old_value,legacy_new_value,in_product_catalog_crosswalk,authoritative_plan,legacy_matches_authoritative,contains_spaces_old,contains_spaces_new,still_used_by_quikridr_path,p3c_status,dependency_type
901ML8225,01ML8225C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901ML8246,01ML8246C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901ML8250,01ML8250C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901ML8251,01ML8251C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901ML8267,01ML8267C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901ML8303,01ML8303C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901ML8307,01ML8307C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901ML8314B,01ML8314BC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901ML8367,01ML8367C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901ML8378A,01ML8378AC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901ML8378B,01ML8378BC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901ML8378C,01ML8378CC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901ML8378D,01ML8378DC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901ML8378E,01ML8378EC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901ML8438,01ML8438C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901ML8450B,01ML8450BC,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901ML8457,01ML8457C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901ML8464,01ML8464C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901ML8487,01ML8487C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901ML8493,01ML8493C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901ML8501,01ML8501C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901ML8515,01ML8515C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901ML8522,01ML8522C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901ML8535,01ML8535C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901ML8556,01ML8556C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901ML8557,01ML8557C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901ML8565,01ML8565C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901ML8570,01ML8570C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901ML8584,01ML8584C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901ML8597,01ML8597C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901ML8678,01ML8678C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901ML8772,01ML8772C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901ML8791,01ML8791C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
901ML8804,01ML8804C,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
658 CEN I,1658C1,Y,1658C1,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
1578 FTR,778FTR,Y,778FTR,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
1576 658,976658,Y,976658,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
1580 JPO,980JPO,Y,980JPO,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
1577 ADB,977ADB,Y,977ADB,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
1578FTR WP,9FTRWP,Y,9FTRWP,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
1578 CTR,578CTR,Y,578CTR,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
1578CTR WP,9CTRWP,Y,9CTRWP,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
8042 STR,542STR,Y,542STR,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
8042STR WP,9STRWP,Y,9STRWP,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
DISCHO80,9DIS80,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
DISCHO90,9DIS90,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
658 CEN SD,1658CS,Y,1658CS,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
1578 FTR,778FTR,Y,778FTR,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
659 CEN II,1659C2,Y,1659C2,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
DISCHO90,9DIS90,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
1578 FTR,778FTR,Y,778FTR,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
1576 659,976659,Y,976659,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
1577 ADB,977ADB,Y,977ADB,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
1580 JPO,980JPO,Y,980JPO,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
1578FTR WP,9FTRWP,Y,9FTRWP,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
8043 CTR,543CTR,Y,543CTR,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
659 CEN SD,1659CS,Y,1659CS,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
659 CEN SR,1659CR,Y,1659CR,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
659 SR GD,1659SR,Y,1659SR,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
666 WL,1666WL,Y,1666WL,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
897 666,1666AI,Y,1666AI,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
668 SPWL,1668SP,Y,1668SP,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
679 CEN SD,1679CS,Y,1679CS,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
L10 LP95,1L1095,Y,1L1095,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
L10 JPO,9JPO10,Y,9JPO10,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
L10 WP,9WPL10,Y,9WPL10,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
L10 ADB,9ADB10,Y,9ADB10,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
L10 GPO,9GPO10,Y,9GPO10,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
L10 CDT,5CDT10,Y,5CDT10,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
L10 WP CDT,9CDTWP,Y,9CDTWP,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
DISCHO2475,9DIS25,Y,9DIS24,N,N,N,Y,OBSOLETE_FOR_QUIKPLAN,Master_Crosswalk product row
L10 LP95SR,1L10SR,Y,1L10SR,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
L10 OLD,1L10OD,N,,N,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
DISCHO247C,9DIS25,Y,9DS24C,N,N,N,Y,OBSOLETE_FOR_QUIKPLAN,Master_Crosswalk product row
L10 CDT,5CDT10,Y,5CDT10,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
L10 ADB,9ADB10,Y,9ADB10,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
L10 WP OLD,9OLDWP,Y,9OLDWP,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
L10 GPO,9GPO10,Y,9GPO10,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
L10 JPO,9JPO10,Y,9JPO10,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
L10 SDT,7SDT10,Y,7SDT10,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
L10 SR OLD,1L10SO,Y,1L10SO,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
L10 WP OLD,9WPO10,Y,9OLDWP,N,Y,N,Y,OBSOLETE_FOR_QUIKPLAN,Master_Crosswalk product row
L10 ADB,9ADB10,Y,9ADB10,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
L10 JPO,9JPO10,Y,9JPO10,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
L14,1L14SC,Y,1L14SC,Y,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
,,N,,Y,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
L17,1L17SP,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
L17 2+ JPO,17MJPO,Y,17MJPO,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
L17 1 JPO,117JPO,Y,117JPO,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
8286 GI 1,986JPO,Y,986JPO,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
L17 1,10L171,Y,10L171,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
L17 2+,10L172,Y,10L172,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
8286 GI 2+,982JPO,Y,982JPO,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
10827 CSI3,17CSI3,Y,17CSI3,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
10827 CSI5,17CSI5,Y,17CSI5,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
10827 CSI7,17CSI7,Y,17CSI7,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
991 PWL,1991PL,Y,1991PL,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
L15,1L15GD,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
L15 ADB,9ADB15,Y,9ADB15,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
L16,1L16GD,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
619 DT,7619DT,Y,7619DT,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
DISCHO25,9DIS25,N,,N,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
619 DT SP,719SDT,Y,719SDT,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
619 DT CH,719CDT,Y,719CDT,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
619 SPS PU,7619PU,Y,7619PU,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
647 FLP,7647FP,Y,7647FP,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
647 FLP SP,7647SP,Y,7647SP,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
647 FLP CH,7647CH,Y,7647CH,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
667 ART,5667AT,Y,5667AT,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
1595,9595WP,Y,9595WP,Y,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
L01 10Y LT,5L0110,Y,5L0110,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
8115 L01,9L01WP,Y,9L01WP,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
DISCHO70,9DIS70,Y,9DIS70,Y,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
1596 L01,901ADB,Y,901ADB,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
L05 10Y LT,5L0510,Y,5L0510,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
8115,9L05WP,Y,9L05WP,Y,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
1596,996ADB,Y,996ADB,Y,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
L07 5Y LT,5L075Y,Y,5L075Y,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
1596,996ADB,Y,996ADB,Y,N,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
621 END85,221END,Y,221END,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
0822 620,920ADB,Y,920ADB,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
622 END85,222END,Y,222END,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
