TABLE,PLAN,TYPE_CODE,KEY,COLUMN,DROPPED_CAPPED_VALUE,RETAINED_GENUINE_VALUE
QuikGps,543CTR,PR,543CTR|99|00|M|SM|00|0000|00|19000101,0,20.0,20.0
QuikGps,543CTR,PR,543CTR|99|00|M|SM|00|0000|00|19000101,0,20.0,20.0
QuikGps,543CTR,PR,543CTR|99|00|M|SM|00|0000|00|19000101,0,20.0,20.0
QuikGps,543CTR,PR,543CTR|99|00|M|SM|00|0000|00|19000101,0,20.0,20.0
QuikGps,543CTR,PR,543CTR|99|00|M|SM|00|0000|00|19000101,0,20.0,20.0
QuikGps,543CTR,PR,543CTR|99|00|M|SM|00|0000|00|19000101,0,20.0,20.0
QuikGps,543CTR,PR,543CTR|99|00|M|SM|00|0000|00|19000101,0,20.0,20.0
QuikGps,543CTR,PR,543CTR|99|00|M|SM|00|0000|00|19000101,0,20.0,20.0
QuikGps,543CTR,PR,543CTR|99|00|M|SM|00|0000|00|19000101,0,20.0,20.0
QuikGps,543CTR,PR,543CTR|99|00|M|SM|00|0000|00|19000101,0,20.0,20.0
QuikGps,543CTR,PR,543CTR|99|00|M|SM|00|0000|00|19000101,0,20.0,20.0
QuikGps,967ADB,PR,967ADB|99|00|M|SM|00|0000|00|19000101,0,1.6,1.6
QuikGps,967ADB,PR,967ADB|99|00|M|SM|00|0000|00|19000101,0,1.6,1.6
QuikGps,967ADB,PR,967ADB|99|00|M|SM|00|0000|00|19000101,0,1.6,1.6
QuikGps,967ADB,PR,967ADB|99|00|M|SM|00|0000|00|19000101,0,1.6,1.6
QuikGps,967ADB,PR,967ADB|99|00|M|SM|00|0000|00|19000101,0,1.6,1.6
QuikGps,967ADB,PR,967ADB|99|00|M|SM|00|0000|00|19000101,0,1.6,1.6
QuikGps,967ADB,PR,967ADB|99|00|M|SM|00|0000|00|19000101,0,1.6,1.6
QuikGps,967ADB,PR,967ADB|99|00|M|SM|00|0000|00|19000101,0,1.6,1.6
QuikGps,967ADB,PR,967ADB|99|00|M|SM|00|0000|00|19000101,0,1.6,1.6
QuikGps,967ADB,PR,967ADB|99|00|M|SM|00|0000|00|19000101,0,1.6,1.6
QuikGps,967ADB,PR,967ADB|99|00|M|SM|00|0000|00|19000101,0,1.6,1.6
QuikGps,967ADB,PR,967ADB|99|00|M|SM|00|0000|00|19000101,0,1.6,1.6
QuikGps,967ADB,PR,967ADB|99|00|M|SM|00|0000|00|19000101,0,1.6,1.6
QuikGps,967ADB,PR,967ADB|99|00|M|SM|00|0000|00|19000101,0,1.6,1.6
QuikGps,967ADB,PR,967ADB|99|00|M|SM|00|0000|00|19000101,0,1.6,1.6
QuikGps,967ADB,PR,967ADB|99|00|M|SM|00|0000|00|19000101,0,1.6,1.6
QuikGps,967ADB,PR,967ADB|99|00|M|SM|00|0000|00|19000101,0,1.6,1.6
QuikGps,967ADB,PR,967ADB|99|00|M|SM|00|0000|00|19000101,0,1.6,1.6
QuikGps,7647FP,PR,7647FP|99|00|M|00|00|0000|00|19000101,0,52.0,52.0
QuikGps,7647FP,PR,7647FP|99|00|M|00|00|0000|00|19000101,0,52.0,52.0
QuikGps,7647FP,PR,7647FP|99|00|M|00|00|0000|00|19000101,0,52.0,52.0
QuikGps,7647FP,PR,7647FP|99|00|M|00|00|0000|00|19000101,0,52.0,52.0
QuikGps,7647FP,PR,7647FP|99|00|M|00|00|0000|00|19000101,0,52.0,52.0
QuikGps,7647FP,PR,7647FP|99|00|M|00|00|0000|00|19000101,0,52.0,52.0
QuikGps,7647FP,PR,7647FP|99|00|M|00|00|0000|00|19000101,0,52.0,52.0
QuikGps,7647FP,PR,7647FP|99|00|M|00|00|0000|00|19000101,0,52.0,52.0
QuikGps,7647FP,PR,7647FP|99|00|M|00|00|0000|00|19000101,0,52.0,52.0
QuikGps,7647FP,PR,7647FP|99|00|M|00|00|0000|00|19000101,0,52.0,52.0
QuikGps,7647FP,PR,7647FP|99|00|M|00|00|0000|00|19000101,0,52.0,52.0
QuikGps,7647FP,PR,7647FP|99|00|M|00|00|0000|00|19000101,0,52.0,52.0
QuikGps,7647FP,PR,7647FP|99|00|M|00|00|0000|00|19000101,0,52.0,52.0
QuikGps,7647FP,PR,7647FP|99|00|M|00|00|0000|00|19000101,0,52.0,52.0
QuikGps,1L10SO,PR,1L10SO|99|00|F|PR|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|F|PR|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|F|PR|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|F|PR|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|F|PR|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|F|PR|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|F|PR|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|F|PR|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|F|PR|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|F|PR|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|F|PR|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|F|PR|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|F|PR|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|F|PR|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|F|PR|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|F|PR|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|F|PR|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|F|PR|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|F|SM|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|F|SM|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|F|SM|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|F|SM|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|F|SM|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|F|SM|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|F|SM|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|F|SM|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|F|SM|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|F|SM|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|F|SM|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|F|SM|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|F|SM|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|F|SM|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|F|SM|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|F|SM|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|F|SM|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|F|SM|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|M|PR|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|M|PR|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|M|PR|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|M|PR|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|M|PR|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|M|PR|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|M|PR|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|M|PR|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|M|PR|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|M|PR|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|M|PR|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|M|PR|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|M|PR|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|M|PR|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|M|PR|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|M|PR|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|M|PR|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|M|PR|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|M|SM|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|M|SM|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|M|SM|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|M|SM|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|M|SM|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|M|SM|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|M|SM|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|M|SM|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|M|SM|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|M|SM|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|M|SM|00|0000|00|19000101,0,0.01,0.01
